track_name,artist,album,release_date,popularity,spotify_url,id,duration_min,release_year,track_name_encoded,artist_encoded,album_encoded
I Knew You Were Trouble.,Taylor Swift,Red (Big Machine Radio Release Special),2012-10-22,78,https://open.spotify.com/track/6FB3v4YcR57y4tXFcdxI1E,6FB3v4YcR57y4tXFcdxI1E,6.103333333333333e-05,2012,344,438,549
Domino,Jessie J,Who You Are (Platinum Edition),2011-01-01,79,https://open.spotify.com/track/2fQxE0jVrjNMT9oJAXtSJR,2fQxE0jVrjNMT9oJAXtSJR,6.44e-05,2011,192,221,743
Chasing The Sun,The Wanted,Word Of Mouth,2013-01-01,18,https://open.spotify.com/track/1AmsmRgQffh5Cu7R0CKLIO,1AmsmRgQffh5Cu7R0CKLIO,5.4282499999999994e-05,2013,130,453,754
Warzone,The Wanted,The Wanted (Special Edition),2012-01-01,25,https://open.spotify.com/track/03OxsxT49CJva3c0HamCO7,03OxsxT49CJva3c0HamCO7,6.065166666666667e-05,2012,808,453,683
Lightning,The Wanted,The Wanted (Special Edition),2012-01-01,25,https://open.spotify.com/track/1GbJ41rEFbOx5s4h1zB7Or,1GbJ41rEFbOx5s4h1zB7Or,5.66e-05,2012,436,453,683
Beep,The Pussycat Dolls,PCD,2005-01-01,61,https://open.spotify.com/track/6GHMJJjpoqiBnw3wgSplL7,6GHMJJjpoqiBnw3wgSplL7,6.37111111111111e-05,2005,79,447,504
Complicated,Avril Lavigne,Let Go,2002-06-04,85,https://open.spotify.com/track/5xEM5hIgJ1jjgcEBfpkt2F,5xEM5hIgJ1jjgcEBfpkt2F,6.791833333333333e-05,2002,144,47,387
Girlfriend,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,78,https://open.spotify.com/track/45hOioMDJktr86iKDHC8gr,45hOioMDJktr86iKDHC8gr,6.016666666666667e-05,2007,273,47,661
Sk8er Boi,Avril Lavigne,Let Go,2002-06-04,80,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU,00Mb3DuaIH1kjrwOku9CGU,5.6666666666666664e-05,2002,676,47,387
Here's to Never Growing Up,Avril Lavigne,Avril Lavigne (Expanded Edition),2013-11-01,69,https://open.spotify.com/track/0qwcGscxUHGZTgq0zcaqk1,0qwcGscxUHGZTgq0zcaqk1,5.9533333333333335e-05,2013,313,47,63
You're Beautiful,James Blunt,Back to Bedlam,2005-08-08,79,https://open.spotify.com/track/0vg4WnUWvze6pBOJDTq99k,0vg4WnUWvze6pBOJDTq99k,5.81925e-05,2005,860,214,72
Black Widow,Iggy Azalea,Frat Party,2019-08-09,28,https://open.spotify.com/track/13idHd4iXnaPZCuALiAcPS,13idHd4iXnaPZCuALiAcPS,5.817305555555556e-05,2019,94,199,241
I Can Do Better,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,49,https://open.spotify.com/track/5kyqKoOnHwvxk0bZLeK1kr,5kyqKoOnHwvxk0bZLeK1kr,5.425166666666667e-05,2007,337,47,661
Runaway,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,49,https://open.spotify.com/track/3lxrdos6O9eZit1KMfz9A1,3lxrdos6O9eZit1KMfz9A1,6.331472222222221e-05,2007,641,47,661
The Best Damn Thing,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,56,https://open.spotify.com/track/7lmX3dD2Xy13Jo1oCTR4ot,7lmX3dD2Xy13Jo1oCTR4ot,5.255555555555555e-05,2007,754,47,661
When You're Gone,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,71,https://open.spotify.com/track/54JKnDB3CzVu8wNAOM27BI,54JKnDB3CzVu8wNAOM27BI,6.680361111111111e-05,2007,832,47,661
Everything Back But You,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,46,https://open.spotify.com/track/6a1X8nNiPyVQYyzCDW9Ine,6a1X8nNiPyVQYyzCDW9Ine,5.0585e-05,2007,226,47,661
Hot,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,63,https://open.spotify.com/track/6z7fZRrQfOH3ZjWEkC4QhC,6z7fZRrQfOH3ZjWEkC4QhC,5.6381388888888886e-05,2007,324,47,661
Innocence,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,58,https://open.spotify.com/track/5OuP08bgU2H7ZeDQQFQ6q8,5OuP08bgU2H7ZeDQQFQ6q8,6.45e-05,2007,382,47,661
I Don't Have To Try,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,43,https://open.spotify.com/track/21zXru0J6n2em6MC61dVYE,21zXru0J6n2em6MC61dVYE,5.479611111111111e-05,2007,340,47,661
One of Those Girls,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,45,https://open.spotify.com/track/4Ib7GwWqc37GWVermwR4OV,4Ib7GwWqc37GWVermwR4OV,4.874805555555555e-05,2007,565,47,661
Contagious,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,45,https://open.spotify.com/track/0xMbfVm5z0Q1VdnYvox460,0xMbfVm5z0Q1VdnYvox460,3.585138888888888e-05,2007,147,47,661
Keep Holding On,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,65,https://open.spotify.com/track/4UPcXTh26ilb7owtuyHqNI,4UPcXTh26ilb7owtuyHqNI,6.664055555555555e-05,2007,409,47,661
Alone,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,42,https://open.spotify.com/track/7CUPfpfuPwjicclWi4qKH4,7CUPfpfuPwjicclWi4qKH4,5.381111111111111e-05,2007,33,47,661
I Will Be,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,51,https://open.spotify.com/track/1ERza8JzFin9c3Keo8XQEX,1ERza8JzFin9c3Keo8XQEX,6.658138888888888e-05,2007,357,47,661
I Can Do Better - Acoustic Version,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,37,https://open.spotify.com/track/1K2LIONKyqMuYU6aPNEhR1,1K2LIONKyqMuYU6aPNEhR1,6.0873888888888884e-05,2007,338,47,661
Girlfriend - The Submarines' Time Warp '66 Mix - English,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,34,https://open.spotify.com/track/4TOX8K8H3tJaKU6mXqiPN0,4TOX8K8H3tJaKU6mXqiPN0,5.3e-05,2007,275,47,661
Girlfriend (feat. Lil Mama) - Dr. Luke Mix,Avril Lavigne,The Best Damn Thing (Expanded Edition),2007-04-17,50,https://open.spotify.com/track/1wwt0TvrGY3lnvTAVIx8mO,1wwt0TvrGY3lnvTAVIx8mO,5.690722222222222e-05,2007,274,47,661
Wild Ones (feat. Sia),Flo Rida,Wild Ones,2012-06-22,83,https://open.spotify.com/track/1NpW5kyvO4XrNJ3rnfcNy3,1NpW5kyvO4XrNJ3rnfcNy3,6.470722222222222e-05,2012,840,165,745
Falling,Trevor Daniel,Nicotine,2020-03-26,2,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,2rRJrJEo19S2J82BDsQ3F7,4.427250000000001e-05,2020,239,465,467
Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean (International Remixes),2019-01-01,55,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl,0BGwAKW4u8kWOhWFflZxfl,3.688333333333333e-05,2019,53,309,62
Let Me Down Slowly,Alec Benjamin,Narrated For You,2018-11-16,83,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2qxmye6gAegTMjLKEBoR3d,4.70425e-05,2018,430,23,461
2002,Anne-Marie,Speak Your Mind (Deluxe),2018-04-27,82,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2BgEsaKNfHUdlh97KmvFyo,5.194055555555555e-05,2018,2,32,607
Shape of You,Ed Sheeran,÷ (Deluxe),2017-03-03,90,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,7qiZfU4dY1lWllzX7mPBI3,6.492e-05,2017,663,149,797
Despacito - Remix,Luis Fonsi,VIDA,2019-02-01,72,https://open.spotify.com/track/1vnnXMrBeEWiRg3YCMCjQq,1vnnXMrBeEWiRg3YCMCjQq,6.400361111111111e-05,2019,183,283,718
Faded,Alan Walker,Different World,2018-12-14,82,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz,698ItKASDavgwZ3WjaWjtz,5.8918333333333335e-05,2018,236,21,173
Mood (feat. iann dior),24kGoldn,El Dorado,2021-03-26,79,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m,4jPy3l0RUwlUI9T5XHBW2m,3.903694444444445e-05,2021,512,0,196
Memories,Maroon 5,Memories,2019-09-20,33,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2b8fOow8UzyDFAE27YhOZM,5.2635e-05,2019,500,306,435
Cheap Thrills (feat. Sean Paul),Sia,This Is Acting,2016-02-18,76,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6,378iszndTZAR4dH8kwsLC6,6.244805555555555e-05,2016,131,417,686
Beautiful (feat. Camila Cabello),Bazzi,Beautiful (feat. Camila Cabello),2018-08-02,73,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,4VUwkH455At9kENOfzTqmF,5e-05,2018,75,60,86
I'm a Mess,Bebe Rexha,Expectations,2018-06-22,71,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,04ZTP5KsCypmtCmQg5tH9R,5.431083333333333e-05,2018,363,61,208
None Of My Business,Cher Lloyd,None Of My Business,2018-10-19,59,https://open.spotify.com/track/2SPEg45ZaUFJCg9GwNmRvw,2SPEg45ZaUFJCg9GwNmRvw,5.111222222222222e-05,2018,542,101,473
Blinding Lights,The Weeknd,After Hours,2020-03-20,90,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0VjIjW4GlUZAMYd2vXMi3b,5.556666666666667e-05,2020,97,454,33
Don't Start Now,Dua Lipa,Future Nostalgia,2020-03-27,83,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,3PfIrDoz19wz7qK7tYeu62,5.0913888888888885e-05,2020,198,144,244
Break My Heart,Dua Lipa,Future Nostalgia,2020-03-27,78,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,017PF4Q3l4DBUiWoXk4OWT,6.161666666666667e-05,2020,108,144,244
I Like Him,Princess Nokia,Everything Sucks,2020-02-26,59,https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H,68UU9oaQtMDnh6PRlW842H,3.67925e-05,2020,346,370,206
Levitating (feat. DaBaby),Dua Lipa,Future Nostalgia,2020-03-27,83,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,5nujrmhLynf4yMoMtj8AQF,5.640666666666666e-05,2020,433,144,244
MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name),2021-03-31,72,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd,67BtfxlNbhBmCDR2L2l8qd,3.829861111111111e-05,2021,478,270,413
Kiss Me More (feat. SZA),Doja Cat,Kiss Me More (feat. SZA),2021-04-09,47,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK,748mdHapucXQri7IAO8yFK,5.801833333333333e-05,2021,413,138,373
Liar,Camila Cabello,Romance,2019-12-06,64,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,073ILU1C3APNRGF66VhtyA,5.7510555555555556e-05,2019,434,90,560
Can We Kiss Forever?,Kina,Can We Kiss Forever?,2018-08-31,73,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,58wyJLv6yH1La9NIZPl3ne,5.220305555555555e-05,2018,125,254,123
Kings & Queens,Ava Max,Heaven & Hell,2020-09-18,80,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI,7a53HqqArd4b9NF4XAmlbI,4.511055555555555e-05,2020,412,45,283
The Middle,Zedd,The Middle,2018-01-23,80,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,09IStsImFySgyp0pIQdqAc,5.131444444444445e-05,2018,760,493,672
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,Expectations,2018-06-22,74,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,4e4fqjx0Izh4svvTef1z7e,4.56125e-05,2018,494,61,208
Be Kind (with Halsey),Marshmello,Be Kind (with Halsey),2020-05-01,73,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,3Z8FwOEN59mRMxDCtb8N0A,4.798916666666667e-05,2020,72,307,83
Sucker,Jonas Brothers,Happiness Begins,2019-06-07,80,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,22vgEDb5hykfaTwLuskFGD,5.0285000000000004e-05,2019,720,227,272
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,83,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2Fxmhks0bxGSBdJ92vM42m,5.3913055555555555e-05,2019,866,70,722
What If I Told You That I Love You,Ali Gatie,The Idea Of Her,2021-03-26,66,https://open.spotify.com/track/6USdi8uX5GNAPYziFhisHb,6USdi8uX5GNAPYziFhisHb,5.379638888888888e-05,2021,823,29,668
Dancing in My Room,347aidan,Dancing in My Room,2020-10-26,67,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX,6Pgmqg15yVexuOgtzuxwoX,5.003833333333333e-05,2020,168,2,160
Heartbreak Anniversary,GIVĒON,TAKE TIME,2020-03-27,81,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp,3FAJ6O0NOHQV8Mc5Ri6ENp,5.510277777777777e-05,2020,306,171,634
Send My Love (To Your New Lover),Adele,25,2015-11-20,77,https://open.spotify.com/track/563SfWAHJs4FBZMkRN0IFN,563SfWAHJs4FBZMkRN0IFN,6.196611111111111e-05,2015,657,17,10
Say My Name,David Guetta,7,2018-09-14,68,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,0YammaEkYSeo9vQYZ1OwS6,5.526277777777778e-05,2018,652,124,13
I Like It,Cardi B,Invasion of Privacy,2018-04-06,78,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,58q2HKrzhC3ozto2nDdN4z,7.038611111111112e-05,2018,347,92,350
Happier,Marshmello,Happier,2018-08-17,17,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99,5.952472222222222e-05,2018,299,307,270
Hate Me (with Juice WRLD),Ellie Goulding,Hate Me (with Juice WRLD),2019-06-26,70,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,6kls8cSlUyHW2BUOkDJIZE,5.1728611111111114e-05,2019,301,153,276
It's You,Ali Gatie,YOU,2019-11-08,76,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,5DqdesEfbRyOlSS3Tf6c29,5.905722222222222e-05,2019,391,29,760
WITHOUT YOU,The Kid LAROI,F*CK LOVE (SAVAGE),2020-11-06,6,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA,27OeeYzk6klgBh83TSvGMA,4.482888888888889e-05,2020,798,445,209
Goodbyes (feat. Young Thug),Post Malone,Hollywood's Bleeding,2019-09-06,77,https://open.spotify.com/track/0t3ZvGKlmYmVsDzBJAXK8C,0t3ZvGKlmYmVsDzBJAXK8C,4.8570277777777774e-05,2019,290,368,292
Into Your Arms (feat. Ava Max),Witt Lowry,Into Your Arms (feat. Ava Max),2018-06-08,73,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM,0b11D9D0hMOYCIMN3OKreM,5.167277777777777e-05,2018,385,478,349
Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),2015-08-14,75,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,4DpNNXFMMxQEKl7r0ykkWA,4.9963055555555554e-05,2015,591,313,147
My Oh My (feat. DaBaby),Camila Cabello,Romance,2019-12-06,75,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,3yOlyBJuViE2YSGn3nVE1K,4.7429444444444446e-05,2019,525,90,560
What If (I Told You I Like You),Johnny Orlando,What If (I Told You I Like You),2018-05-18,65,https://open.spotify.com/track/4v7DgEMw6EvYyuQ4eWFD9l,4v7DgEMw6EvYyuQ4eWFD9l,6.0885e-05,2018,822,223,733
I Need Your Love,Madilyn Bailey,"The Covers, Vol. 6",2013-09-13,0,https://open.spotify.com/track/62usIcDxqFIQ7x5qN91hrN,62usIcDxqFIQ7x5qN91hrN,5.549916666666667e-05,2013,351,294,663
good 4 u,Olivia Rodrigo,SOUR,2021-05-21,85,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,4ZtFanR9U6ndgddUvNcjcG,4.9485e-05,2021,874,351,569
Somebody To You,The Vamps,Meet The Vamps,2014-01-01,73,https://open.spotify.com/track/6VrLYoQKdhu1Jruei06t65,6VrLYoQKdhu1Jruei06t65,5.141583333333334e-05,2014,689,452,433
What A Shame,Leyla Blue,What A Shame,2020-12-09,61,https://open.spotify.com/track/7FGIEAVXfegxngH9Jg6VwA,7FGIEAVXfegxngH9Jg6VwA,4.922222222222222e-05,2020,819,267,732
Build a Bitch,Bella Poarch,Build a Bitch,2021-05-14,70,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q,7BoobGhD4x5K96Me0hqC8Q,3.410333333333333e-05,2021,111,63,115
Last Hurrah,Bebe Rexha,Last Hurrah,2019-02-15,58,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy,0i0wnv9UoFdZ5MfuFGQzMy,4.1759166666666665e-05,2019,420,61,379
telepatía,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,2020-12-04,84,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B,6tDDoYIxWvMLTdKpjFkc1B,4.44975e-05,2020,890,242,592
Dinero,Trinidad Cardona,Dinero,2018-02-02,68,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm,3ggtU1ZOKO8ZNiqPNyXGcm,4.468888888888889e-05,2018,188,466,174
NO,Meghan Trainor,Thank You (Deluxe Version),2017-05-12,75,https://open.spotify.com/track/0l0CvurVUrr2w3Jj1hOVFc,0l0CvurVUrr2w3Jj1hOVFc,5.9307222222222225e-05,2017,529,312,654
Don't Go Yet,Camila Cabello,Don't Go Yet,2021-07-23,68,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad,1058fW9H3fZA6QjYCdOBad,4.578944444444445e-05,2021,194,90,177
Armor,Nightcore Dreams,Armor,2017-07-19,42,https://open.spotify.com/track/7gmHi5czs1e2nEJBSwwH1Y,7gmHi5czs1e2nEJBSwwH1Y,5.112722222222222e-05,2017,47,339,58
My Dilemma,Selena Gomez & The Scene,When The Sun Goes Down,2011-01-01,52,https://open.spotify.com/track/5g3TKEDNVOviIisycRgo4H,5g3TKEDNVOviIisycRgo4H,5.273694444444444e-05,2011,519,411,738
Look What You Made Me Do,Taylor Swift,reputation,2017-11-10,81,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il,1P17dC1amhFzptugyAO7Il,5.8848055555555554e-05,2017,448,438,789
Love Story,Taylor Swift,Fearless (Big Machine Radio Release Special),2008-11-11,76,https://open.spotify.com/track/1D4PL9B8gOg78jiHg3FvBb,1D4PL9B8gOg78jiHg3FvBb,6.562944444444444e-05,2008,463,438,225
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Speak Your Mind (Deluxe),2018-04-27,64,https://open.spotify.com/track/3fvY2U1AzW0diYF0hnBbKt,3fvY2U1AzW0diYF0hnBbKt,6.957111111111112e-05,2018,632,108,607
Bad Blood,Taylor Swift,1989,2014-01-01,72,https://open.spotify.com/track/0TvQLMecTE8utzoNmvXRbK,0TvQLMecTE8utzoNmvXRbK,5.887027777777778e-05,2014,63,438,7
Better Now,Post Malone,beerbongs & bentleys,2018-04-27,80,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,7dt6x5M1jzdTEt8oCbisTK,6.424055555555555e-05,2018,86,368,771
Ready or Not,Bridgit Mendler,Hello My Name Is...,2012-01-01,73,https://open.spotify.com/track/5xvUgoVED1F4mBu8FL0HaW,5xvUgoVED1F4mBu8FL0HaW,5.5818333333333334e-05,2012,618,80,286
In the Name of Love,Martin Garrix,In the Name of Love,2016-07-29,81,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S,23L5CiUhw2jV1OIMwthR3S,5.4362777777777776e-05,2016,380,308,343
Little Do You Know,Alex & Sierra,It's About Us,2014-10-06,72,https://open.spotify.com/track/1almCHdsfikRPfVB9VrEdT,1almCHdsfikRPfVB9VrEdT,5.144444444444444e-05,2014,442,25,352
SugarCrash!,ElyOtto,SugarCrash!,2020-08-25,69,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX,2ePtv8MlBO9nuuXABqAfEX,2.224444444444445e-05,2020,721,154,625
"i hate u, i love u (feat. olivia o'brien)",gnash,us,2016-03-25,76,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,7vRriwrloYVaoAe3a9wJHe,6.973138888888889e-05,2016,876,500,792
Please Don't Go,Joel Adams,Please Don't Go,2015-11-06,67,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy,3cNjgVBKTJ1SvKhunrCdVy,5.849444444444444e-05,2015,593,222,521
Warrior,Demi Lovato,Demi,2013-01-01,55,https://open.spotify.com/track/7nCBOm2WiTUPAx3TeG2rZA,7nCBOm2WiTUPAx3TeG2rZA,6.421472222222222e-05,2013,806,128,169
The Greatest (feat. Kendrick Lamar),Sia,This Is Acting (Deluxe Version),2016-10-21,68,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,7xHWNBFm6ObGEQPaUxHuKO,5.839611111111111e-05,2016,756,417,687
Burn,Ellie Goulding,Halcyon Days,2014-01-01,66,https://open.spotify.com/track/2GgxS8bUT5G25QJTsfSv0R,2GgxS8bUT5G25QJTsfSv0R,6.422527777777777e-05,2014,113,153,268
Bezos I,Bo Burnham,Inside (The Songs),2021-06-10,0,https://open.spotify.com/track/0Kdj7nwaYQmvhxnqZaIQuW,0Kdj7nwaYQmvhxnqZaIQuW,1.6152499999999998e-05,2021,90,76,345
Rebel,Zum,Liquid Sunshine Riddim,2020-09-11,60,https://open.spotify.com/track/36t9rgshEge4LCzhHKioFQ,36t9rgshEge4LCzhHKioFQ,3.7745e-05,2020,619,494,394
Fight Song,Rachel Platten,Wildfire,2016-01-01,78,https://open.spotify.com/track/37f4ITSlgPX81ad2EvmVQr,37f4ITSlgPX81ad2EvmVQr,5.667027777777778e-05,2016,248,375,747
If I Can't Have You,Shawn Mendes,If I Can't Have You,2019-05-03,67,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,6LsAAHotRLMOHfCsSfYCsz,5.3e-05,2019,368,414,331
Stay,Zedd,Stay,2017-02-23,77,https://open.spotify.com/track/6uBhi9gBXWjanegOb2Phh0,6uBhi9gBXWjanegOb2Phh0,5.835833333333333e-05,2017,701,493,614
Cradles,Sub Urban,Cradles,2019-01-04,3,https://open.spotify.com/track/18A7ha5BitZjmdHTCwXFbU,18A7ha5BitZjmdHTCwXFbU,5.828583333333333e-05,2019,151,429,141
Worth It (feat. Kid Ink),Fifth Harmony,Reflection (Deluxe),2015-01-30,79,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO,41Fflg7qHiVOD6dEPvsCzO,6.238138888888888e-05,2015,849,163,551
Unstoppable,Sia,This Is Acting,2016-01-29,81,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa,2J2Z1SkXYghSajLibnQHOa,6.0485e-05,2016,791,417,686
Mad at Disney,salem ilese,Mad at Disney,2020-07-24,2,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,7aGyRfJWtLqgJaZoG9lJhE,3.8010555555555556e-05,2020,480,506,416
Not Your Barbie Girl,Ava Max,Not Your Barbie Girl,2018-08-13,67,https://open.spotify.com/track/4fkM7M4Uo5AUASnnsRC7EZ,4fkM7M4Uo5AUASnnsRC7EZ,5.181111111111111e-05,2018,546,45,477
Lily,Alan Walker,Different World,2018-12-14,74,https://open.spotify.com/track/0lks2Kt9veMOFEAPN0fsqN,0lks2Kt9veMOFEAPN0fsqN,5.4399999999999994e-05,2018,440,21,173
Heart Attack,Demi Lovato,Demi,2013-01-01,81,https://open.spotify.com/track/1V6gIisPpYqgFeWbMLI0bA,1V6gIisPpYqgFeWbMLI0bA,5.856666666666666e-05,2013,303,128,169
7 rings,Ariana Grande,"thank u, next",2019-02-08,84,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,6ocbgoVGwYJhOv1GgI9NsF,4.961833333333333e-05,2019,11,38,790
Queen,Loren Gray,Queen,2018-12-21,61,https://open.spotify.com/track/53b4d9jHQZq89EtQxwUURr,53b4d9jHQZq89EtQxwUURr,4.456777777777778e-05,2018,610,280,538
I Like Me Better,Lauv,I met you when I was 18. (the playlist),2018-05-31,4,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2P91MQbaiQOfbiz9VqhqKQ,5.484333333333333e-05,2018,348,262,321
Princesses Don't Cry - Nightcore Remix,CARYS,Princesses Don't Cry,2019-10-18,0,https://open.spotify.com/track/0RVlQOqnWuVUdSSxJ5b0q5,0RVlQOqnWuVUdSSxJ5b0q5,5.4892500000000003e-05,2019,604,85,531
positions,Ariana Grande,Positions,2020-10-30,80,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,35mvY5S1H3J2QZyna3TFe0,4.786777777777778e-05,2020,889,38,526
Sweet but Psycho,Ava Max,Heaven & Hell,2020-09-18,81,https://open.spotify.com/track/7DnAm9FOTWE3cUvso43HhI,7DnAm9FOTWE3cUvso43HhI,5.206555555555555e-05,2020,734,45,283
Wildest Dreams,Taylor Swift,1989,2014-01-01,76,https://open.spotify.com/track/3fVnlF4pGqWI9flVENcT28,3fVnlF4pGqWI9flVENcT28,6.123333333333334e-05,2014,841,438,7
On & On,Cartoon,On & On,2015-07-09,8,https://open.spotify.com/track/4B2kkxg3wKSTZw5JPaUtzQ,4B2kkxg3wKSTZw5JPaUtzQ,5.751888888888889e-05,2015,556,94,488
"thank u, next",Ariana Grande,"thank u, next",2019-02-08,81,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,3e9HZxeyfWwjeyPAMmWSSQ,5.758888888888889e-05,2019,891,38,790
Power,Little Mix,Glory Days (Expanded Edition),2016-11-18,74,https://open.spotify.com/track/0lUSd7TCG8srh6HpIAEIWL,0lUSd7TCG8srh6HpIAEIWL,6.884444444444444e-05,2016,598,278,253
Take a Hint,Night Inn,"Make It Pop, Vol. 7",2020-01-26,52,https://open.spotify.com/track/1AcL5QlN95gkHCVxRXrEUT,1AcL5QlN95gkHCVxRXrEUT,4.289861111111111e-05,2020,739,337,420
Who Says,Selena Gomez & The Scene,When The Sun Goes Down,2011-01-01,75,https://open.spotify.com/track/3TcL0dyCMyr0kyTTc4NLgI,3TcL0dyCMyr0kyTTc4NLgI,5.433694444444444e-05,2011,838,411,738
Just A Dream,Kurt Hugo Schneider,Just A Dream,2017-11-14,58,https://open.spotify.com/track/0QfmQhr5npxuWQ4zzUDUhB,0QfmQhr5npxuWQ4zzUDUhB,7.322138888888889e-05,2017,400,255,362
Darkside,Alan Walker,Different World,2018-12-14,75,https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X,6SRWhUJcD2YKahCwHavz3X,5.88e-05,2018,175,21,173
Love Is Gone,SLANDER,Love Is Gone,2019-05-10,63,https://open.spotify.com/track/39glqzRVRAy4vq3PqeTGb8,39glqzRVRAy4vq3PqeTGb8,7.112277777777779e-05,2019,458,394,403
